Route,Day,Stop 1,Stop 1 Time,Stop 2,Stop 2 Time,Stop 3,Stop 3 Time,Stop 4,Stop 4 Time,Stop 5,Stop 5 Time
Westside Inbound,Saturday-Sunday,UDC,6:35 PM,Main & Murray,6:38 PM,Floral & Main,6:44 PM,Return to Campus,7:00 PM,,
Westside Inbound,Saturday-Sunday,UDC,8:20 PM,Main & Murray,8:23 PM,Floral & Main,8:29 PM,Return to Campus,8:45 PM,,
Westside Inbound,Saturday-Sunday,UDC,9:20 PM,Main & Murray,9:23 PM,Floral & Main,9:29 PM,Return to Campus,9:45 PM,,
Westside Inbound,Sunday,UDC,9:50 PM,Main & Murray,9:53 PM,Floral & Main,9:59 PM,Return to Campus,10:15 PM,,
Westside Inbound,Saturday-Sunday,UDC,10:50 PM,Main & Murray,10:53 PM,Floral & Main,10:59 PM,Return to Campus,11:15 PM,,
Westside Inbound,Saturday,UDC,11:50 PM,Main & Murray,11:53 PM,Floral & Main,11:59 PM,Return to Campus,12:15 AM,,
Downtown Southside Outbound,Sunday,Union,9:45 PM,Conklin & S. Washington,9:53 PM,Tompkins & Conklin,9:56 PM,BC Junction,10:00 PM,UDC,10:10 PM
Downtown Southside Outbound,Sunday,Union,10:15 PM,Conklin & S. Washington,10:23 PM,Tompkins & Conklin,10:26 PM,BC Junction,10:30 PM,UDC,10:40 PM
Downtown Southside Outbound,Sunday,Union,10:45 PM,Conklin & S. Washington,10:53 PM,Tompkins & Conklin,10:56 PM,BC Junction,11:00 PM,UDC,11:10 PM
Main Street Outbound,Saturday-Sunday,Union,11:45 AM,Pharmacy School,11:54 AM,Main & Floral,11:57 AM,Main & Murray,12:03 PM,UDC,12:15 PM
,,,,,,,,,,,
Main Street Outbound,Saturday-Sunday,Union,2:15 PM,Pharmacy School,2:24 PM,Main & Floral,2:27 PM,Main & Murray,2:33 PM,UDC,2:45 PM
Main Street Outbound,Saturday-Sunday,Union,4:45 PM,Pharmacy School,4:54 PM,Main & Floral,4:57 PM,Main & Murray,5:03 PM,UDC,5:15 PM
Main Street Outbound,Saturday-Sunday,Union,7:15 PM,Pharmacy School,7:24 PM,Main & Floral,7:27 PM,Main & Murray,7:33 PM,UDC,7:45 PM
Main Street Outbound,Saturday-Sunday,Union,8:45 PM,Pharmacy School,8:54 PM,Main & Floral,8:57 PM,Main & Murray,9:03 PM,UDC,9:15 PM
University Downtown Center Inbound,Saturday-Sunday,UDC,12:15 PM,Return to Campus,12:30 PM,,,,,,
University Downtown Center Inbound,Saturday-Sunday,UDC,2:45 PM,Return to Campus,3:00 PM,,,,,,
University Downtown Center Inbound,Saturday-Sunday,UDC,5:15 PM,Return to Campus,5:30 PM,,,,,,
University Downtown Center Inbound,Saturday-Sunday,UDC,7:45 PM,Return to Campus,8:00 PM,,,,,,
University Downtown Center Inbound,Saturday-Sunday,UDC,9:15 PM,Return to Campus,9:30 PM,,,,,,
University Downtown Center Inbound,Sunday,UDC,10:15 PM,Return to Campus,10:30 PM,,,,,,
University Downtown Center Inbound,Sunday,UDC,10:45 PM,Return to Campus,11:00 PM,,,,,,
University Downtown Center Inbound,Sunday,UDC,11:15 PM,Return to Campus,11:30 PM,,,,,,
UClub Shuttle,Saturday-Sunday,Mohawk,9:30 AM,UClub,9:35 AM,Washington & Lehigh,9:39 AM,,,,
UClub Shuttle,Saturday-Sunday,Mohawk,10:15 AM,UClub,10:20 AM,Washington & Lehigh,10:24 AM,,,,
UClub Shuttle,Saturday-Sunday,Mohawk,11:00 AM,UClub,11:05 AM,Washington & Lehigh,11:09 AM,,,,
UClub Shuttle,Saturday-Sunday,Mohawk,12:00 PM,UClub,12:05 PM,Washington & Lehigh,12:09 PM,,,,
UClub Shuttle,Saturday-Sunday,Mohawk,12:15 PM,UClub,12:20 PM,Washington & Lehigh,12:24 PM,,,,
UClub Shuttle,Saturday-Sunday,Mohawk,12:45 PM,UClub,12:50 PM,Washington & Lehigh,12:54 PM,,,,
UClub Shuttle,Saturday-Sunday,Mohawk,1:00 PM,UClub,1:05 PM,Washington & Lehigh,1:09 PM,,,,
UClub Shuttle,Saturday-Sunday,Mohawk,1:45 PM,UClub,1:50 PM,Washington & Lehigh,1:54 PM,,,,
UClub Shuttle,Saturday-Sunday,Mohawk,2:00 PM,UClub,2:05 PM,Washington & Lehigh,2:09 PM,,,,
UClub Shuttle,Saturday-Sunday,Mohawk,2:30 PM,UClub,2:35 PM,Washington & Lehigh,2:39 PM,,,,
UClub Shuttle,Saturday-Sunday,Mohawk,3:30 PM,UClub,3:35 PM,Washington & Lehigh,3:39 PM,,,,
UClub Shuttle,Saturday-Sunday,Mohawk,3:45 PM,UClub,3:50 PM,Washington & Lehigh,3:54 PM,,,,
UClub Shuttle,Saturday-Sunday,Mohawk,4:15 PM,UClub,4:20 PM,Washington & Lehigh,4:24 PM,,,,
